"species","X","latitude","longitude","prot_perc_cat"
"Apostolepis assimilis*",1155,-23.5333,-47.1333,"<1%"
"Apostolepis assimilis*",1156,-23.5292,-47.1353,"<1%"
"Apostolepis assimilis*",1157,-22.7333,-45.7333,"<1%"
"Apostolepis assimilis*",1158,-22.75,-45.75,"<1%"
"Apostolepis assimilis*",1159,-19,-43.65,"<1%"
"Apostolepis assimilis*",1160,-17.6182,-54.8278,"<1%"
"Apostolepis assimilis*",1161,-23.5069,-47.3653,"<1%"
"Apostolepis assimilis*",1162,-23.5017,-47.4581,"<1%"
"Apostolepis assimilis*",1163,-23.5,-47.45,"<1%"
"Apostolepis assimilis*",1164,-23.5681,-55.0698,"<1%"
"Apostolepis assimilis*",1165,-21.4667,-46.75,"<1%"
"Apostolepis assimilis*",1166,-21.7,-45.25,"<1%"
"Apostolepis assimilis*",1167,-19.75,-47.9333,"<1%"
"Apostolepis assimilis*",1168,-19.7333,-47.9167,"<1%"
"Apostolepis assimilis*",1169,-18.9186,-48.2772,"<1%"
"Apostolepis assimilis*",1170,-18.9167,-48.25,"<1%"
"Apostolepis assimilis*",1171,-18.9167,-48.2667,"<1%"
"Apostolepis assimilis*",1172,-18.9167,-48.2833,"<1%"
"Apostolepis assimilis*",1173,-18.9113,-48.2622,"<1%"
"Apostolepis assimilis*",1174,-18.8875,-48.2472,"<1%"
"Apostolepis assimilis*",1175,-23.2083,-46.8333,"<1%"
"Apostolepis assimilis*",1176,-19.6919,-43.9233,"<1%"
"Apostolepis assimilis*",1177,-19.6833,-43.9333,"<1%"
"Apostolepis assimilis*",1178,-23.55,-47.45,"<1%"
"Apostolepis assimilis*",1179,-21.959,-44.89,"<1%"
"Apostolepis assimilis*",1180,-23.494,-46.903,"<1%"
"Apostolepis assimilis*",1181,-22.315,-49.061,"<1%"
"Apostolepis assimilis*",1182,-22.193,-48.779,"<1%"
"Apostolepis assimilis*",1183,-22.441,-46.351,"<1%"
"Apostolepis assimilis*",1184,-23.308,-47.133,"<1%"
"Apostolepis assimilis*",1185,-23.356,-46.877,"<1%"
"Apostolepis assimilis*",1186,-22.591,-46.529,"<1%"
"Apostolepis assimilis*",1187,-21.836,-45.401,"<1%"
"Apostolepis assimilis*",1188,-20.443,-54.646,"<1%"
"Apostolepis assimilis*",1189,-20.45,-54.6333,"<1%"
"Apostolepis assimilis*",1190,-23.206,-46.784,"<1%"
"Apostolepis assimilis*",1191,-22.739,-45.591,"<1%"
"Apostolepis assimilis*",1192,-23.523,-46.836,"<1%"
"Apostolepis assimilis*",1193,-23.5228,-46.8358,"<1%"
"Apostolepis assimilis*",1194,-21.977,-44.933,"<1%"
"Apostolepis assimilis*",1195,-15.4167,-55.7833,"<1%"
"Apostolepis assimilis*",1196,-22.212,-45.264,"<1%"
"Apostolepis assimilis*",1197,-21.661,-46.739,"<1%"
"Apostolepis assimilis*",1198,-22.191,-46.741,"<1%"
"Apostolepis assimilis*",1199,-20.284,-50.246,"<1%"
"Apostolepis assimilis*",1200,-23.282,-46.745,"<1%"
"Apostolepis assimilis*",1201,-23.322,-46.727,"<1%"
"Apostolepis assimilis*",1202,-22.613,-46.361,"<1%"
"Apostolepis assimilis*",1203,-22.612,-46.058,"<1%"
"Apostolepis assimilis*",1204,-22.659,-45.856,"<1%"
"Apostolepis assimilis*",1205,-20.462,-47.122,"<1%"
"Apostolepis assimilis*",1206,-23.09,-47.218,"<1%"
"Apostolepis assimilis*",1207,-22.099,-46.19,"<1%"
"Apostolepis assimilis*",1208,-22.426,-45.453,"<1%"
"Apostolepis assimilis*",1209,-22.284,-44.87,"<1%"
"Apostolepis assimilis*",1210,-23.006,-46.839,"<1%"
"Apostolepis assimilis*",1211,-23.2833,-47.3,"<1%"
"Apostolepis assimilis*",1212,-23.264,-47.299,"<1%"
"Apostolepis assimilis*",1213,-23.528,-46.903,"<1%"
"Apostolepis assimilis*",1214,-23.101,-46.728,"<1%"
"Apostolepis assimilis*",1215,-17.9,-51.75,"<1%"
"Apostolepis assimilis*",1216,-23.186,-46.884,"<1%"
"Apostolepis assimilis*",1217,-23.31,-51.163,"<1%"
"Apostolepis assimilis*",1218,-21.675,-45.92,"<1%"
"Apostolepis assimilis*",1219,-23.546,-47.183,"<1%"
"Apostolepis assimilis*",1220,-22.308,-45.375,"<1%"
"Apostolepis assimilis*",1221,-22.957,-45.84,"<1%"
"Apostolepis assimilis*",1222,-23.533,-46.792,"<1%"
"Apostolepis assimilis*",1223,-22.283,-46.369,"<1%"
"Apostolepis assimilis*",1224,-22.924,-45.462,"<1%"
"Apostolepis assimilis*",1225,-23.528,-46.345,"<1%"
"Apostolepis assimilis*",1226,-21.788,-46.561,"<1%"
"Apostolepis assimilis*",1227,-21.7878,-46.5614,"<1%"
"Apostolepis assimilis*",1228,-22.536,-55.726,"<1%"
"Apostolepis assimilis*",1229,-22.23,-45.936,"<1%"
"Apostolepis assimilis*",1230,-17.8,-50.9333,"<1%"
"Apostolepis assimilis*",1231,-19.53,-45.966,"<1%"
"Apostolepis assimilis*",1232,-23.444,-46.918,"<1%"
"Apostolepis assimilis*",1233,-22.827,-45.663,"<1%"
"Apostolepis assimilis*",1234,-22.689,-45.731,"<1%"
"Apostolepis assimilis*",1235,-21.969,-46.798,"<1%"
"Apostolepis assimilis*",1236,-22.9025,-45.966,"<1%"
"Apostolepis assimilis*",1237,-23.529,-47.135,"<1%"
"Apostolepis assimilis*",1238,-22.748,-45.743,"<1%"
"Apostolepis assimilis*",1239,-22.7478,-45.7425,"<1%"
"Apostolepis assimilis*",1240,-23.502,-47.458,"<1%"
"Apostolepis assimilis*",1241,-21.468,-46.749,"<1%"
"Apostolepis assimilis*",1242,-19.748,-47.932,"<1%"
"Apostolepis assimilis*",1243,-18.919,-48.277,"<1%"
"Apostolepis assimilis*",1244,-23.211,-46.828,"<1%"
"Apostolepis assimilis*",1245,-27.4363,-59.0396,"<1%"
"Apostolepis assimilis*",1246,-25.3693,-54.5748,"<1%"
"Apostolepis barrioi*",1247,-20.459,-55.7756,"<1%"
"Apostolepis barrioi*",1248,-21.7944,-48.1756,"<1%"
"Apostolepis barrioi*",1249,-23.1181,-46.5875,"<1%"
"Apostolepis barrioi*",1250,-20.9667,-48.5625,"<1%"
"Apostolepis barrioi*",1251,-22.9,-46.61,"<1%"
"Apostolepis barrioi*",1252,-22.2833,-48.1167,"<1%"
"Apostolepis barrioi*",1253,-22.79,-47.06,"<1%"
