"species","rangeAnt","percNatCat","X","latitude","longitude"
"Helicops gomesi*",228362,"<30%",7140,-20.75,-51.6667
"Helicops gomesi*",228362,"<30%",7141,-19.677,-51.191
"Helicops gomesi*",228362,"<30%",7144,-23.165,-47.744
"Helicops gomesi*",228362,"<30%",7145,-22.906,-47.061
"Helicops gomesi*",228362,"<30%",7142,-23.649,-47.573
"Helicops gomesi*",228362,"<30%",7143,-23.1767,-47.6736
"Helicops gomesi*",228362,"<30%",7139,-20.7598,-51.6951
"Helicops gomesi*",228362,"<30%",7153,-22.7055,-47.6538
"Helicops gomesi*",228362,"<30%",7154,-22.7,-47.6333
"Helicops gomesi*",228362,"<30%",7155,-22.6667,-48.3667
"Helicops gomesi*",228362,"<30%",7156,-22.6589,-47.2068
