Hoplocercus spinosus,187917,398688,10390,49643,72820,330032,7768,62790,3,4202,3371,403,260,7601,145372,1046,20418,193,47,88,1834
Hydropsalis candicans,56199,39288,12571,12239,6773,174935,34627,45089,,2458,471,32,112,3763,44605,,5423,381,1848,183,48
Hylodes otavioi,37,40,0,2,41,16,,39,,1,0,40,,0,0,,0,,,,
Ischnocnema penaxavantinho,5137,5061,830,451,1716,13521,61,5298,,294,84,,2,894,9116,,911,613,86,4,2
Juscelinomys candango,16,70,,6,35,18,,16,,178,7,,,19,0,,0,,,,
Kentropyx paulensis,80448,137089,10527,30594,20228,232989,37084,75757,,5060,1642,421,251,6945,81699,28,14239,2924,2719,237,66
Kentropyx vanzoi,72778,114546,6843,18251,17180,141904,2318,19801,,924,1045,83,129,1915,71829,,10514,0,,,340
Kerodon acrobata,293,2929,2,24,183,2248,,257,,13,7,47,,37,12,,39,,,,0
Knipolegus franciscanus,10710,85214,4823,2573,26137,42255,277,14358,,640,707,552,61,790,21282,,3000,187,83,122,1003
Kunsia tomentosus,164656,171335,20688,32202,30116,348843,40721,94910,,6061,2022,398,353,9893,135481,,20536,3156,2738,276,345
Laterallus xenopterus,70420,137629,16859,13247,33189,243085,33280,73276,,4458,1588,595,245,7594,72644,,11801,2813,1868,200,646
Leposternon cerradensis,32,24,12,15,0,208,1,22,,,1,,,25,19,,3,,,,
Leposternon maximus,20,420,0,9,280,92,,21,,,1,,,9,0,,,0,0,,
Leposternon mineiro*,45,186,17,11,29,251,5,105,,36,9,,,7,15,,7,0,2,1,
Leptodactylus brevipes*,26915,49393,511,1167,2716,35491,18,7655,,348,399,52,13,643,35147,,5001,,,,26
Leptodactylus camaquara,1212,3960,649,30,505,571,,357,,8,20,629,,16,1,,2,5,2,0,
Leptodactylus cunicularius,3456,1294,462,168,338,7082,0,3772,,569,23,362,28,309,244,,115,276,13,1,
Leptodactylus furnarius,138306,329746,27264,44709,58928,381341,38276,108344,,6874,2820,2276,410,11652,124919,703,20524,3503,2930,492,1595
